instance_id,source_row_id,post_id,label,aspect,input_text,synthetic
synth::trad::2::0000::0,,synthpost::trad::2::0000::0,2,cbd,"i'm honestly at my wits end. i have psoriatic arthritis and fibro and this winter has been brutal. my hands lock up in the morning, my knees feel like they have broken glass in them, and by 3pm i'm basically useless. nsaids wreck my stomach, prednisone makes me a monster, and the biologic i'm on isn't keeping up anymore. i bought some cbd gummies and a topical because people kept saying it would take the edge off, but all it really did was lighten my wallet. maybe it's helping a tiny bit? hard to tell when everything hurts all the time. i keep missing work and i feel like i'm just becoming a problem for everyone around me. i'm so tired of being the person who always has to cancel plans, call out, or ask for help to open jars and climb stairs. i just want one normal week without pain, nausea, or exhaustion.",1
synth::trad::2::0000::1,,synthpost::trad::2::0000::1,2,cannabis,"venting because i'm crying in the parking lot after another rheum appointment where nothing got solved. my bloodwork is a mess, my joints are swollen, and i've got this awful burning in my feet that makes standing at my job almost impossible. the doctor told me to 'stay active' and suggested acupuncture like i haven't already tried every sane thing under the sun. i asked about cannabis because a friend with lupus swears it helped her sleep, and he just gave me that look like i was asking for something ridiculous. meanwhile i'm getting maybe 3 hours of broken sleep a night and every morning feels like i've been hit by a truck. i don't even care about being pain free anymore, i just want enough relief to shower, work, and not feel like i'm falling apart. i'm so discouraged by how hard it is to get anyone to take this seriously.",1
synth::trad::2::0000::2,,synthpost::trad::2::0000::2,2,marijuana,"anyone else feel like they're losing their mind trying to manage this disease? i have ankylosing spondylitis and the fatigue is honestly worse than the pain some days. i've been on sulfasalazine, naproxen, and now a biologic, and i'm still waking up feeling like i never slept at all. my lower back is stiff, my ribs hurt when i breathe too deep, and sitting through a work meeting feels impossible. i've tried heating pads, stretching, massage, all of it. the only thing that even lets me relax enough to fall asleep is a little marijuana at night, but then i spend half the next day feeling guilty because i know my husband hates that it's become part of my routine. i'm not proud of it, i just don't know what else to do when the pain ramps up and my brain won't shut off. i miss feeling like myself so much.",1
synth::trad::2::0000::3,,synthpost::trad::2::0000::3,2,thc,"i'm having one of those weeks where i feel completely defeated. i've got ra, sjogren's, and probably something else brewing because my hands are on fire, my eyes feel like sandpaper, and my ankles are so swollen i can barely get shoes on. i saw my doc yesterday hoping for some kind of plan and left with more labs, more waiting, and another lecture about stress. i'm already stressed because i haven't been able to keep up with work and i'm terrified i'm going to get written up again. a friend gave me a thc balm to try on my wrists and thumbs, but it barely touches the pain and the smell makes me nauseous. i know people mean well when they say to rest, hydrate, meditate, etc., but none of that fixes the fact that i can't hold a mug without crying. i just feel old, broken, and angry.",1
synth::trad::2::0000::4,,synthpost::trad::2::0000::4,2,medical marijuana,"i'm so frustrated i could scream. my diagnosis has been moving toward mixed connective tissue disease and maybe inflammatory arthritis, but everything is dragging out forever. meanwhile i'm losing weight because eating hurts, my shoulders and hips ache nonstop, and i keep waking up drenched in sweat from pain. my primary basically told me to 'be patient' while waiting for specialist notes, which is easy to say when you're not the one trying to function on 4 hours of sleep and a heating pad. i looked into medical marijuana because a neighbor with similar symptoms said it helped her get through the night, but between the cost, the paperwork, and the fear of being judged, i just feel stuck. i hate that my life has shrunk down to medication schedules, ice packs, and canceling everything. i'm not looking for miracles, just something that lets me get through a day without feeling like my body is actively sabotaging me.",1
synth::trad::2::0001::0,,synthpost::trad::2::0001::0,2,cbd,"i'm at the point where i'm running out of things to try. i've got psa and every time i think i'm turning a corner, my hands and knees light up again and i’m back to waking up at 3am because i can’t get comfortable. my rheumatologist adjusted my meds last month and i’m still stiff for hours in the morning, plus my stomach is wrecked from the nsaids. i started using cbd oil a few weeks ago because several people swore it helped them, but honestly i can’t tell if it’s doing anything besides making me poorer. i’m tired of hearing ""just rest"" when rest doesn’t touch the pain and work doesn’t stop because i’m flaring. does anyone have anything that actually helps with the constant ache and fatigue, or am i just stuck waiting for the next med to kick in? i’m so burned out.",1
synth::trad::2::0001::1,,synthpost::trad::2::0001::1,2,weed,"not looking for a miracle, just a way to get through the day without feeling like my body is made of broken glass. i have suspected lupus and sjogren's, and the combo of joint pain, dry eyes, mouth sores, and this weird crushing fatigue has basically turned my life into work, bed, repeat. i tried to push through a grocery trip yesterday and ended up sitting in the car crying because my hips and shoulders hurt so bad. i've been taking tylenol like candy, using heat, stretching, all the usual stuff. weed was suggested by a friend, but i’ve never been a smoker and i’m nervous to even try it. i’m mostly here because i’m desperate for anyone who understands the constant ",1
synth::trad::2::0001::2,,synthpost::trad::2::0001::2,2,medical marijuana,"been on plaquenil for months for ra and the swelling has come down a little, but the pain and fatigue are still ruining everything. i can handle the doctors telling me it may take time, but what’s getting to me is that i can’t make it through a normal shift without my wrists and feet screaming. i’m missing family stuff, sleeping poorly, and feeling like i’m 80 years old at 29. my clinic mentioned medical marijuana as an option for symptom management, but i’ve never used it and don’t know if it’s worth the hassle where i live. did anyone here actually get approved, and did it help with the day-to-day pain or just make you sleepy? i’m not trying to replace treatment, i just want to stop counting down the hours until i can lie down again.",1
synth::trad::2::0001::3,,synthpost::trad::2::0001::3,2,thc,"i’m in a nasty flare and i’m so over pretending it’s fine. i have ankylosing spondylitis and the back pain is bad enough, but the worst part is the fatigue and the way it makes me feel like my body is fighting me every single morning. my latest labs were ""not terrible"" so apparently that means i should be able to function. cool. i tried an otc sleep aid, stretching, hot showers, the whole routine, and i still wake up feeling like i got hit by a truck. a cousin keeps telling me to try thc gummies, but i’m skeptical and honestly kind of scared of making the brain fog worse because i already forget words mid-sentence. has anyone found anything that actually helps with sleep and pain without making you feel even more useless the next day?",1
synth::trad::2::0001::4,,synthpost::trad::2::0001::4,2,cannabis,"i don’t really know what i’m looking for anymore except maybe a reality check. i have sjogren's and probably some overlap nonsense because my joints hurt, my mouth is constantly dry, my eyes burn, and i’m exhausted in a way that sleep doesn’t fix. the specialist keeps saying the inflammation markers aren’t dramatic enough to explain how bad i feel, which is a lovely thing to hear when you can barely open jars or get through a shower without needing to sit down. i’ve been trying heat, electrolyte drinks, artificial tears, rest, and just generally existing badly. cannabis keeps getting brought up in support groups as if it’s some magical fix, but all i really want is to know whether anyone else has had this miserable combo of symptoms and found anything that took the edge off. i’m so tired of being told to wait until it gets worse before they take me seriously.",1
