instance_id,source_row_id,post_id,label,aspect,input_text,synthetic
synth::absa::2::0000::0,,synthpost::absa::2::0000::0,2,cbd,"has anyone else found that cbd does basically nothing for joint pain? i have ra and was hoping it might help me get through the nights without taking extra ibuprofen, but after a few weeks of trying different doses i honestly feel like i'm just spending money on flavored oil. the weird part is that even the supposedly ""pure"" cbd made me feel foggy and a little more nauseous, which is the last thing i need on methotrexate days. maybe i'm just not a good candidate for it, but at this point cbd seems more annoying than helpful. anyone else have zero luck with it?",1
synth::absa::2::0000::1,,synthpost::absa::2::0000::1,2,thc,"i tried a low-dose thc edible last weekend because several people said it would help with sleep and stiffness from ankylosing spondylitis. nope. it made my heart race, my anxiety shoot up, and i spent half the night convinced every tiny sensation in my body meant i was having some kind of reaction. the pain was still there in the morning, just with added paranoia and a gross hungover feeling. i know thc works great for some people, but for me it seems to make everything worse instead of better.",1
synth::absa::2::0000::2,,synthpost::absa::2::0000::2,2,marijuana,"just wanted to vent a little: marijuana has been a bad experience every single time i've tried it since getting my lupus diagnosis. i keep hearing that it can help with appetite and pain, but all i get is a weird head rush, dry mouth, and this super uncomfortable sense that my joints hurt more because i'm paying attention to them too much. one time i even felt like my hands were swelling up more, though maybe it was just anxiety. either way, marijuana is not the miracle some people make it out to be for me.",1
synth::absa::2::0000::3,,synthpost::absa::2::0000::3,2,weed,"i'm honestly jealous of people who say weed helps their flare symptoms, because for me it just makes me feel off. i have psoriatic arthritis and tried vaping a tiny amount to see if it would take the edge off my knee and ankle pain. instead i got dizzy, kind of shaky, and weirdly aware of every ache in my body. i also slept terribly. after that i stopped trying because weed just feels like it adds another problem on top of the pain rather than helping with it.",1
synth::absa::2::0000::4,,synthpost::absa::2::0000::4,2,medical marijuana,"my rheumatologist didn't push it, but a friend kept telling me to look into medical marijuana for my constant inflammation and sleep issues. i gave it a real shot and honestly regretted it. the product labels made everything sound very controlled and ""medical,"" but all i noticed was brain fog, a racing mind, and no meaningful change in my stiffness. i was expecting at least some relief with the medical marijuana route, but it felt like an expensive experiment that made me less functional the next day. disappointing.",1
synth::absa::2::0001::0,,synthpost::absa::2::0001::0,2,cbd,"anyone else get weird flares from cbd? i started a small dose tincture for joint pain because my rheum suggested i ""try something gentle"" before upping meds. instead of calming things down, the cbd seems to make my heart pound, my face feel hot, and my mouth even drier than usual. i have sjogren's and ra and i honestly expected at least *some* help with sleep or pain, but after 3 nights i feel more wired and sore. i keep seeing people say cbd is super safe, so i'm wondering if i'm just one of the unlucky ones. has anyone had actual worsening symptoms from cbd or am i missing something? cubby? maybe it was the carrier oil? no clue.",1
synth::absa::2::0001::1,,synthpost::absa::2::0001::1,2,marijuana,"my lupus symptoms have been awful lately, especially the fatigue and hand pain, and i used to think marijuana helped me relax a little. now it just makes me feel foggy, anxious, and somehow more aware of every ache in my body. the last two times i tried a tiny hit i ended up nauseous and staring at the ceiling convinced my joints were swelling up even more. i know people online swear by marijuana for autoimmune pain, but i don't get that at all. is this something that happens once you already have inflammation issues, or is it just not for me anymore?",1
synth::absa::2::0001::2,,synthpost::absa::2::0001::2,2,weed,"i stopped smoking weed for a month because i was hoping it was contributing to my dry eyes and constant fatigue. honestly, i think i feel better off it. every time i start again, my mouth turns into sandpaper, my chest feels tight, and my pain doesn't improve enough to justify it. i have suspected sjogren's and some raynaud's stuff going on, so maybe weed just isn't a good match for me. i feel kind of silly because a lot of people in my life act like it should be the magical answer for chronic pain, but for me it's just been irritating and disappointing. anyone else end up quitting for the same reason?",1
synth::absa::2::0001::3,,synthpost::absa::2::0001::3,2,thc,"i tried a low-dose thc gummy on a night when my ankylosing spondylitis pain was making sleep impossible. bad idea. it didn't help me relax, it made my whole body feel buzzy and my knees hurt more, like my brain was magnifying every little symptom. i also got super dizzy standing up, which is already a problem for me because of possible dysautonomia. the weirdest part is that the thc didn't even touch the pain, but it did leave me feeling nauseated and anxious for hours. has anyone with autoimmune issues had thc make you feel worse instead of better? i'm starting to think it just isn't worth the gamble.",1
synth::absa::2::0001::4,,synthpost::absa::2::0001::4,2,medical marijuana,"my doctor brought up medical marijuana for neuropathy and appetite, but i've had such a bad reaction to anything cannabis-related that i'm hesitant. i tried a vape from a friend once and it honestly made my tremor worse, my thoughts scattered, and my joints feel more inflamed somehow. with my ra and celiac issues i already have enough random symptoms to track without adding another thing that leaves me feeling out of it. i know medical marijuana helps a lot of people, and i wish i were one of them, but right now it mostly seems to make my body feel louder and less manageable. did anyone else get nothing but side effects from it?",1
