instance_id,source_row_id,post_id,label,aspect,input_text,synthetic
synth::absa::0::0000::0,,synthpost::absa::0::0000::0,0,cbd,"quick question for anyone with ra/sjogren's: has anyone added cbd oil to their routine while still taking hydroxychloroquine? i'm not looking for a miracle, just trying to figure out what people do for morning stiffness and if they noticed any issues with it being sleepy or not doing much at all. if you tried cbd, did you use a tincture, gummies, or cream?",1
synth::absa::0::0000::1,,synthpost::absa::0::0000::1,0,cannabis,"my rheumatologist mentioned cannabis as one of the things people ask about for chronic pain, so i'm trying to read up before my next appointment. i'm not against it and i'm not really for it either, i just want to know if anyone here has found it useful for sleep vs. joint pain vs. appetite, and whether it changed anything with their meds. lupus + terrible fatigue is making me consider every option.",1
synth::absa::0::0000::2,,synthpost::absa::0::0000::2,0,marijuana,"does marijuana interact with methotrexate or prednisone in any way that doctors actually care about? i'm not asking for medical advice, just trying to be honest at my follow-up and not get side-eyed if i mention that i use it occasionally. my main issue is hand pain, and i'm trying to keep my questions organized before i go in.",1
synth::absa::0::0000::3,,synthpost::absa::0::0000::3,0,thc,"i'm testing a low-dose thc tincture on nights when the pain makes it hard to get comfortable. so far it's been kind of inconsistent: one night i felt fine, another night i just felt more aware of my heartbeat and went back to plain old acetaminophen. wondering if that's just normal with thc or if it's usually better with a different ratio.",1
synth::absa::0::0000::4,,synthpost::absa::0::0000::4,0,medical marijuana,"anyone here have a medical marijuana card through their state and use it mainly for flares? i have psoriatic arthritis and my doctor said it wouldn't be the first thing he'd recommend, but he also didn't seem shocked when i asked. i'm mostly curious how people brought it up at appointments and whether they kept it as an as-needed thing or a regular part of pain management.",1
synth::absa::0::0001::0,,synthpost::absa::0::0001::0,0,cbd,"hi everyone, i have seronegative ra and my rheumy just added hydroxychloroquine last month. i’m trying to keep track of what helps and what doesn’t, so i’m curious whether anyone here has tried cbd while on dmards. i’m not looking for a miracle fix, just wondering if it seemed to affect stiffness, sleep, or any meds/interactions. my pharmacist said to ask my doctor either way, which i will, but it would be helpful to hear what other people were told.",1
synth::absa::0::0001::1,,synthpost::absa::0::0001::1,0,medical marijuana,"anyone else in an arthritis clinic ever get the “have you considered medical marijuana?” conversation? my doctor mentioned it pretty casually when i said the morning pain is still rough even with naproxen, and now i’m trying to figure out what that even looks like where i live. i’m not against it, just trying to understand if it’s basically another option people use for symptom control or if it’s more hassle than it’s worth.",1
synth::absa::0::0001::2,,synthpost::absa::0::0001::2,0,cannabis,"i’m newly diagnosed with psoriatic arthritis and still waiting on my biologic approval. in the meantime i’ve been reading a lot and keep running into people talking about cannabis for pain and sleep. does anyone have a simple explanation of how they approached it, or whether it mattered at all for inflammation vs just making nights a little easier? mostly gathering info right now.",1
synth::absa::0::0001::3,,synthpost::absa::0::0001::3,0,thc,"quick question for folks with lupus: does low-dose thc make you feel foggy the next day, or is that more about the dose/product? i’m not asking for medical advice, just comparing notes because my cousin said it helped her appetite and sleep, while another friend said it did nothing. i’d like to know what to expect before bringing it up at my next appointment.",1
synth::absa::0::0001::4,,synthpost::absa::0::0001::4,0,weed,"my rheumatologist is trying to sort out whether my back pain is inflammatory or just mechanical, and i’m on meloxicam for now. a couple friends keep telling me to try weed, but i honestly don’t know much about it beyond the obvious. i’m not looking for anyone to sell me on it or warn me off, just wondering how people here decided whether it fit into their overall treatment plan, if at all.",1
synth::absa::0::0002::0,,synthpost::absa::0::0002::0,0,cbd,"hey all, recently diagnosed with ra and i'm still trying to figure out what actually helps versus what just sounds good on paper. my rheum has me on methotrexate now and i'm waiting to see how that settles in. in the meantime a friend suggested cbd gummies for sleep and stiffness, but i honestly don't know what to expect. has anyone here used cbd alongside their regular meds, and did it do anything noticeable one way or the other?",1
synth::absa::0::0002::1,,synthpost::absa::0::0002::1,0,medical marijuana,"long-time lurker, first time posting. i have psoriatic arthritis and the morning pain has been rough enough that i'm missing work some days. i'm not looking for miracle stories, just trying to understand options. has anyone gone the medical marijuana route while on a biologic? i'm mainly curious about whether the process was a headache and if it changed anything for daily functioning.",1
synth::absa::0::0002::2,,synthpost::absa::0::0002::2,0,marijuana,"my new rheumatologist keeps mentioning medication adjustments, but i'm also trying to make it through the day without feeling wiped out. a couple people in my support group brought up marijuana for sleep and appetite. i don't have much experience with it, so i'm just wondering what people's experiences have been in an autoimmune setting. any practical info would be appreciated.",1
synth::absa::0::0002::3,,synthpost::absa::0::0002::3,0,thc,"hi everyone, i'm dealing with lupus and a lot of fatigue plus nerve pain that seems to come and go for no reason. i've been reading about thc in some of the pain forums, but it's hard to tell what's hype and what's actually useful. does anyone here use thc in a low dose, and if so, how did you even start figuring out whether it was worth trying?",1
