instance_id,source_row_id,post_id,label,aspect,input_text,synthetic
synth::trad::0::0000::0,,synthpost::trad::0::0000::0,0,cbd,"hi all, i'm a 32yo with psoriatic arthritis and i've been gathering info on cbd because my rheumatologist said it might be worth discussing for sleep and stiffness. i'm not looking for miracle claims, just real-world experiences from people who have tried it alongside dmards or biologics. did anyone notice any changes in morning pain, anxiety, or side effects? if you tried gummies, tinctures, or topicals, what seemed to make the most difference? i know everyone responds differently, but hearing what other patients actually did has been more helpful than google.",1
synth::trad::0::0000::1,,synthpost::trad::0::0000::1,0,medical marijuana,"my appointment list keeps getting longer and i'm trying to figure out a workable plan for the next few months. i have ra, a job that involves a lot of typing, and nights are the worst because my hands stiffen up so much i wake up sore. my doctor brought up medical marijuana as one of the options for pain and sleep, but i have never used it before and don't know what to ask. has anyone here gone through the process for an authorization, and if so, did it help with nighttime pain without making you too groggy the next day?",1
synth::trad::0::0000::2,,synthpost::trad::0::0000::2,0,thc,"question for anyone with lupus or inflammatory arthritis: has a low-dose thc cream or balm actually done anything for localized joint pain? i bought one mostly out of curiosity after my wrists and ankles were acting up, and i can't tell whether i'm noticing a real effect or just the massage/routine of applying it. i'm on hydroxychloroquine and naproxen as needed, and i wasn't expecting a dramatic change, just a bit of relief would be nice. if you've used a thc topical, did it seem better for certain joints or time of day?",1
synth::trad::0::0000::3,,synthpost::trad::0::0000::3,0,cannabis,"i've been reading through older threads and trying to separate anecdote from useful information. i'm newly diagnosed with ankylosing spondylitis and am still figuring out what my baseline symptoms are versus what is a flare, which makes it hard to judge anything new. i also live in a state where cannabis is legal, so i'm wondering what kind of questions people asked their doctors before trying it. mostly i'm curious whether anyone here found it helpful for sleep, appetite, or muscle tightness, or whether it just didn't fit into their routine.",1
synth::trad::0::0000::4,,synthpost::trad::0::0000::4,0,pot,"anyone have a simple timing system for taking their meds and using pot at night? i'm on plaquenil and a low dose of prednisone right now, and the combo of pain + poor sleep has been rough. i don't want to overcomplicate things, but i also don't want to take something that makes me feel weird the next morning. i've tried the usual non-prescription stuff, and some nights it helps a little, other nights not much at all. if you use pot occasionally for sleep or pain, do you space it out from your meds or just keep everything separate by a few hours?",1
synth::trad::0::0001::0,,synthpost::trad::0::0001::0,0,cbd,"hey all, quick question for anyone with ra or psoriatic arthritis: has anyone here used cbd oil alongside a biologic or nsaid? my rheum said to keep track of anything new i try, so i'm just gathering info before i decide whether to pick some up. i'm mainly looking for something that might help with sleep and morning stiffness, not expecting miracles. if you've tried it, did you notice anything at all or was it basically a waste of money?",1
synth::trad::0::0001::1,,synthpost::trad::0::0001::1,0,cannabis,"i'm newly diagnosed with lupus and still trying to figure out what helps on bad days. a couple of friends keep suggesting cannabis for pain and appetite, but i don't know anyone personally who uses it for an autoimmune condition. if you've found a particular form helpful, what was it like starting out? i'm more interested in practical experiences than big claims, especially with dosage, side effects, and whether it interfered with meds.",1
synth::trad::0::0001::2,,synthpost::trad::0::0001::2,0,medical marijuana,"has anyone with ankylosing spondylitis gotten a medical marijuana card and actually found it useful? i'm in the annoying stage where i'm not in a full flare, but i'm never really comfortable either. i keep seeing mixed opinions online and it's hard to tell what's hype versus real life. i'd appreciate hearing how people decided whether it was worth trying, and whether it helped more with pain, sleep, or just getting through the day.",1
synth::trad::0::0001::3,,synthpost::trad::0::0001::3,0,thc,"i've been reading old threads about thc and pain relief for autoimmune stuff, but most of them are all over the place. i'm on methotrexate and hydroxychloroquine and i don't want to do anything dumb, i'm just curious what people actually experienced. did low thc products make you sleepy, anxious, or nothing at all? also wondering if anyone found a ratio that worked better for evening use.",1
synth::trad::0::0001::4,,synthpost::trad::0::0001::4,0,weed,"random question for the group: do any of you use weed during flares, or did you try it and decide it wasn't for you? i have sjogren's and a lot of dryness plus joint pain, so i'm trying to build a list of options before my next appointment. i'm not asking for medical advice, just real-world experiences. even little details like how you felt the next morning would be helpful.",1
