replicate,task,n,accuracy,macro_f1,f1_neutral,f1_positive,f1_negative,precision_neutral,precision_positive,precision_negative,recall_neutral,recall_positive,recall_negative,first_attempt_valid
0,absa,96,0.7395833333333334,0.7468268268268269,0.76,0.7027027027027027,0.7777777777777778,0.9743589743589743,0.5416666666666666,0.7777777777777778,0.6229508196721312,1.0,0.7777777777777778,92
1,absa,96,0.75,0.7529007196722225,0.7766990291262136,0.704225352112676,0.7777777777777778,0.9523809523809523,0.5555555555555556,0.7777777777777778,0.6557377049180327,0.9615384615384616,0.7777777777777778,91
2,absa,96,0.7395833333333334,0.7468268268268269,0.76,0.7027027027027027,0.7777777777777778,0.9743589743589743,0.5416666666666666,0.7777777777777778,0.6229508196721312,1.0,0.7777777777777778,90
3,absa,96,0.7604166666666666,0.761437908496732,0.7843137254901961,0.7222222222222222,0.7777777777777778,0.975609756097561,0.5652173913043478,0.7777777777777778,0.6557377049180327,1.0,0.7777777777777778,89
4,absa,96,0.75,0.7541279242079458,0.7722772277227723,0.7123287671232876,0.7777777777777778,0.975,0.5531914893617021,0.7777777777777778,0.639344262295082,1.0,0.7777777777777778,90
0,trad,96,0.6354166666666666,0.5985688376152293,0.6597938144329897,0.4375,0.6984126984126984,0.9411764705882353,0.28,0.5945945945945946,0.5079365079365079,1.0,0.8461538461538461,88
1,trad,96,0.6354166666666666,0.6006944444444445,0.6458333333333334,0.4375,0.71875,0.9393939393939394,0.28,0.6052631578947368,0.49206349206349204,1.0,0.8846153846153846,91
2,trad,96,0.65625,0.6184136737132128,0.673469387755102,0.45161290322580644,0.7301587301587301,0.9428571428571428,0.2916666666666667,0.6216216216216216,0.5238095238095238,1.0,0.8846153846153846,90
3,trad,96,0.6666666666666666,0.6294591025194474,0.6868686868686869,0.4827586206896552,0.71875,0.9444444444444444,0.3181818181818182,0.6052631578947368,0.5396825396825397,1.0,0.8846153846153846,89
4,trad,96,0.6354166666666666,0.6006944444444445,0.6458333333333334,0.4375,0.71875,0.9393939393939394,0.28,0.6052631578947368,0.49206349206349204,1.0,0.8846153846153846,87
